ip_address,mac_address,status,vlan
10.39.18.1,2416.9dc9.2876,Reachable,18
10.39.18.2,,Unreachable,18
10.39.18.3,c4b2.3977.2cf6,Reachable,18
10.39.18.4,,Unreachable,18
10.39.18.5,,Unreachable,18
10.39.18.6,,Unreachable,18
10.39.18.7,,Unreachable,18
10.39.18.8,,Unreachable,18
10.39.18.9,,Unreachable,18
10.39.18.10,,Unreachable,18
10.39.18.11,,Unreachable,18
10.39.18.12,,Unreachable,18
10.39.18.13,,Unreachable,18
10.39.18.14,,Unreachable,18
10.39.18.15,,Unreachable,18
10.39.18.16,,Unreachable,18
10.39.18.17,,Unreachable,18
10.39.18.18,,Unreachable,18
10.39.18.19,,Unreachable,18
10.39.18.20,9c8e.9910.f786,Reachable,18
10.39.18.21,,Unreachable,18
10.39.18.22,,Unreachable,18
10.39.18.23,,Unreachable,18
10.39.18.24,,Unreachable,18
10.39.18.25,,Unreachable,18
10.39.18.26,,Unreachable,18
10.39.18.27,,Unreachable,18
10.39.18.28,,Unreachable,18
10.39.18.29,,Unreachable,18
10.39.18.30,,Unreachable,18
10.39.18.31,,Unreachable,18
10.39.18.32,,Unreachable,18
10.39.18.33,,Unreachable,18
10.39.18.34,,Unreachable,18
10.39.18.35,,Unreachable,18
10.39.18.36,,Unreachable,18
10.39.18.37,,Unreachable,18
10.39.18.38,,Unreachable,18
10.39.18.39,,Unreachable,18
10.39.18.40,,Unreachable,18
10.39.18.41,,Unreachable,18
10.39.18.42,,Unreachable,18
10.39.18.43,,Unreachable,18
10.39.18.44,,Unreachable,18
10.39.18.45,,Unreachable,18
10.39.18.46,,Unreachable,18
10.39.18.47,,Unreachable,18
10.39.18.48,,Unreachable,18
10.39.18.49,,Unreachable,18
10.39.18.50,,Unreachable,18
10.39.18.51,,Unreachable,18
10.39.18.52,,Unreachable,18
10.39.18.53,,Unreachable,18
10.39.18.54,,Unreachable,18
10.39.18.55,,Unreachable,18
10.39.18.56,,Unreachable,18
10.39.18.57,,Unreachable,18
10.39.18.58,,Unreachable,18
10.39.18.59,,Unreachable,18
10.39.18.60,,Unreachable,18
10.39.18.61,,Unreachable,18
10.39.18.62,,Unreachable,18
10.39.18.63,,Unreachable,18
10.39.18.64,,Unreachable,18
10.39.18.65,,Unreachable,18
10.39.18.66,,Unreachable,18
10.39.18.67,,Unreachable,18
10.39.18.68,,Unreachable,18
10.39.18.69,,Unreachable,18
10.39.18.70,,Unreachable,18
10.39.18.71,,Unreachable,18
10.39.18.72,,Unreachable,18
10.39.18.73,,Unreachable,18
10.39.18.74,,Unreachable,18
10.39.18.75,,Unreachable,18
10.39.18.76,,Unreachable,18
10.39.18.77,,Unreachable,18
10.39.18.78,,Unreachable,18
10.39.18.79,,Unreachable,18
10.39.18.80,,Unreachable,18
10.39.18.81,,Unreachable,18
10.39.18.82,,Unreachable,18
10.39.18.83,,Unreachable,18
10.39.18.84,,Unreachable,18
10.39.18.85,,Unreachable,18
10.39.18.86,,Unreachable,18
10.39.18.87,,Unreachable,18
10.39.18.88,,Unreachable,18
10.39.18.89,,Unreachable,18
10.39.18.90,,Unreachable,18
10.39.18.91,,Unreachable,18
10.39.18.92,,Unreachable,18
10.39.18.93,,Unreachable,18
10.39.18.94,,Unreachable,18
10.39.18.95,,Unreachable,18
10.39.18.96,,Unreachable,18
10.39.18.97,,Unreachable,18
10.39.18.98,,Unreachable,18
10.39.18.99,,Unreachable,18
10.39.18.100,,Unreachable,18
10.39.18.101,00d8.6118.264c,Reachable,18
